[SimulationSpeed:500]
134.51, -226.97, 58.66, -84.37, -84.36, -71.13
134.47, -227.02, 58.74, -84.35, -84.28, -70.9
134.44, -227.06, 58.82, -84.33, -84.22, -70.68
134.4, -227.11, 58.9, -84.3, -84.14, -70.45
134.37, -227.16, 58.99, -84.28, -84.07, -70.21
134.34, -227.21, 59.08, -84.26, -83.99, -69.98
134.3, -227.26, 59.16, -84.23, -83.92, -69.74
134.27, -227.31, 59.25, -84.21, -83.84, -69.5
134.23, -227.35, 59.33, -84.19, -83.77, -69.28
134.2, -227.4, 59.42, -84.17, -83.69, -69.05
134.16, -227.45, 59.5, -84.15, -83.62, -68.82
134.13, -227.5, 59.6, -84.13, -83.54, -68.58
134.1, -227.55, 59.68, -84.11, -83.47, -68.35
134.06, -227.6, 59.77, -84.09, -83.39, -68.12
134.03, -227.65, 59.86, -84.07, -83.32, -67.89
133.99, -227.7, 59.94, -84.06, -83.24, -67.66
133.96, -227.75, 60.03, -84.04, -83.16, -67.43
133.93, -227.8, 60.12, -84.02, -83.09, -67.2
133.89, -227.85, 60.21, -84.01, -83.01, -66.97
133.86, -227.9, 60.3, -83.99, -82.93, -66.73
133.82, -227.95, 60.4, -83.97, -82.85, -66.5
133.79, -228.0, 60.49, -83.96, -82.77, -66.26
133.75, -228.05, 60.58, -83.94, -82.69, -66.03
133.72, -228.11, 60.68, -83.93, -82.61, -65.79
133.68, -228.16, 60.77, -83.92, -82.53, -65.56
133.65, -228.21, 60.87, -83.9, -82.44, -65.31
133.61, -228.27, 60.96, -83.89, -82.36, -65.07
133.58, -228.32, 61.06, -83.88, -82.28, -64.83
133.54, -228.38, 61.16, -83.87, -82.19, -64.58
133.51, -228.43, 61.26, -83.85, -82.11, -64.34
133.47, -228.49, 61.35, -83.84, -82.03, -64.1
133.43, -228.54, 61.46, -83.83, -81.94, -63.86
133.4, -228.6, 61.55, -83.82, -81.86, -63.62
133.36, -228.65, 61.65, -83.82, -81.77, -63.38
133.33, -228.71, 61.75, -83.81, -81.69, -63.14
133.29, -228.76, 61.86, -83.8, -81.6, -62.89
133.26, -228.82, 61.96, -83.79, -81.51, -62.65
133.22, -228.88, 62.06, -83.79, -81.42, -62.39
133.18, -228.93, 62.17, -83.78, -81.33, -62.15
133.15, -228.99, 62.27, -83.77, -81.25, -61.91
133.11, -229.05, 62.37, -83.77, -81.16, -61.67
133.08, -229.11, 62.48, -83.76, -81.07, -61.42
133.04, -229.17, 62.58, -83.76, -80.98, -61.17
133.03, -229.18, 62.61, -83.76, -80.95, -61.1
132.99, -229.24, 62.72, -83.76, -80.86, -60.86
132.96, -229.3, 62.82, -83.75, -80.77, -60.61
132.92, -229.36, 62.93, -83.75, -80.68, -60.36
132.9, -229.39, 62.99, -83.75, -80.63, -60.23
132.87, -229.39, 62.98, -83.76, -80.66, -60.28
132.7, -229.38, 62.94, -83.8, -80.78, -60.56
132.53, -229.37, 62.89, -83.84, -80.91, -60.84
132.35, -229.36, 62.85, -83.89, -81.04, -61.13
132.18, -229.35, 62.81, -83.93, -81.16, -61.41
132.01, -229.34, 62.76, -83.98, -81.29, -61.69
131.83, -229.33, 62.72, -84.03, -81.41, -61.97
131.66, -229.33, 62.68, -84.08, -81.54, -62.26
131.49, -229.32, 62.64, -84.13, -81.66, -62.54
131.31, -229.31, 62.6, -84.18, -81.79, -62.82
131.13, -229.31, 62.57, -84.23, -81.92, -63.12
130.96, -229.3, 62.53, -84.29, -82.05, -63.4
130.78, -229.29, 62.49, -84.34, -82.18, -63.69
130.61, -229.29, 62.46, -84.4, -82.3, -63.97
130.43, -229.28, 62.42, -84.45, -82.43, -64.25
130.25, -229.28, 62.39, -84.51, -82.56, -64.55
130.07, -229.28, 62.35, -84.57, -82.69, -64.84
129.9, -229.27, 62.32, -84.63, -82.81, -65.12
129.71, -229.27, 62.29, -84.69, -82.95, -65.42
129.53, -229.27, 62.26, -84.76, -83.08, -65.72
129.34, -229.26, 62.23, -84.83, -83.21, -66.02
129.15, -229.26, 62.2, -84.89, -83.35, -66.32
128.96, -229.26, 62.17, -84.97, -83.49, -66.64
128.77, -229.26, 62.14, -85.04, -83.62, -66.94
128.58, -229.26, 62.11, -85.11, -83.76, -67.24
128.39, -229.26, 62.08, -85.18, -83.89, -67.56
128.19, -229.26, 62.06, -85.26, -84.03, -67.87
128.0, -229.26, 62.03, -85.34, -84.17, -68.18
127.81, -229.26, 62.01, -85.42, -84.31, -68.5
127.62, -229.26, 61.99, -85.5, -84.44, -68.8
127.42, -229.26, 61.97, -85.58, -84.58, -69.12
127.22, -229.26, 61.95, -85.66, -84.72, -69.43
127.03, -229.27, 61.93, -85.74, -84.86, -69.74
126.84, -229.27, 61.91, -85.83, -84.99, -70.05
126.65, -229.27, 61.89, -85.91, -85.13, -70.36
126.46, -229.28, 61.88, -86.0, -85.26, -70.67
126.26, -229.28, 61.86, -86.09, -85.4, -70.99
126.07, -229.29, 61.85, -86.18, -85.54, -71.3
125.87, -229.29, 61.84, -86.27, -85.67, -71.61
125.68, -229.3, 61.82, -86.36, -85.81, -71.93
125.49, -229.3, 61.81, -86.45, -85.94, -72.23
125.29, -229.31, 61.8, -86.55, -86.08, -72.55
125.1, -229.32, 61.8, -86.65, -86.22, -72.86
124.9, -229.33, 61.79, -86.75, -86.35, -73.18
124.71, -229.34, 61.78, -86.84, -86.49, -73.49
124.52, -229.34, 61.78, -86.94, -86.62, -73.8
124.32, -229.35, 61.77, -87.04, -86.75, -74.11
124.13, -229.36, 61.77, -87.15, -86.89, -74.43
123.93, -229.37, 61.77, -87.25, -87.03, -74.75
123.74, -229.38, 61.77, -87.36, -87.16, -75.06
123.54, -229.39, 61.77, -87.46, -87.3, -75.38
123.35, -229.4, 61.77, -87.57, -87.43, -75.69
123.15, -229.42, 61.77, -87.68, -87.57, -76.02
122.96, -229.43, 61.78, -87.79, -87.7, -76.33
122.75, -229.44, 61.78, -87.91, -87.84, -76.67
122.55, -229.46, 61.79, -88.02, -87.98, -76.99
122.35, -229.47, 61.8, -88.14, -88.12, -77.31
122.15, -229.48, 61.8, -88.26, -88.25, -77.64
121.95, -229.5, 61.81, -88.38, -88.39, -77.97
121.75, -229.51, 61.82, -88.5, -88.53, -78.3
121.55, -229.53, 61.84, -88.63, -88.67, -78.63
121.34, -229.55, 61.85, -88.76, -88.81, -78.98
121.14, -229.56, 61.87, -88.88, -88.95, -79.3
120.93, -229.58, 61.88, -89.01, -89.09, -79.64
120.72, -229.6, 61.9, -89.15, -89.23, -79.99
120.52, -229.62, 61.92, -89.28, -89.36, -80.31
120.33, -229.64, 61.94, -89.41, -89.5, -80.64
120.12, -229.66, 61.96, -89.54, -89.64, -80.98
119.92, -229.67, 61.98, -89.68, -89.77, -81.31
119.71, -229.7, 62.0, -89.82, -89.91, -81.66
119.51, -229.72, 62.03, -89.96, -90.05, -82.0
119.31, -229.74, 62.06, -90.1, -90.19, -82.34
119.1, -229.76, 62.08, -90.24, -90.32, -82.68
118.89, -229.78, 62.11, -90.39, -90.46, -83.03
118.69, -229.8, 62.14, -90.54, -90.6, -83.37
118.48, -229.83, 62.17, -90.69, -90.74, -83.72
118.28, -229.85, 62.21, -90.84, -90.87, -84.06
118.07, -229.87, 62.24, -90.99, -91.02, -84.42
117.85, -229.9, 62.28, -91.15, -91.16, -84.78
117.64, -229.92, 62.31, -91.31, -91.3, -85.14
117.43, -229.95, 62.35, -91.47, -91.44, -85.5
117.21, -229.98, 62.39, -91.64, -91.58, -85.87
117.0, -230.0, 62.44, -91.8, -91.72, -86.23
116.78, -230.03, 62.48, -91.97, -91.87, -86.6
116.57, -230.06, 62.52, -92.14, -92.0, -86.96
116.35, -230.09, 62.57, -92.32, -92.15, -87.33
116.14, -230.12, 62.62, -92.49, -92.29, -87.71
115.92, -230.15, 62.67, -92.67, -92.43, -88.08
115.71, -230.18, 62.72, -92.85, -92.57, -88.45
115.5, -230.21, 62.77, -93.02, -92.71, -88.82
115.28, -230.24, 62.82, -93.2, -92.85, -89.19
115.07, -230.27, 62.88, -93.38, -92.99, -89.57
114.85, -230.3, 62.94, -93.57, -93.13, -89.95
114.63, -230.34, 62.99, -93.76, -93.27, -90.33
114.42, -230.37, 63.05, -93.95, -93.4, -90.71
114.21, -230.4, 63.11, -94.14, -93.54, -91.08
113.99, -230.44, 63.17, -94.33, -93.68, -91.47
113.78, -230.47, 63.23, -94.52, -93.81, -91.84
113.57, -230.5, 63.3, -94.71, -93.95, -92.22
113.36, -230.54, 63.36, -94.91, -94.09, -92.6
113.15, -230.57, 63.43, -95.1, -94.22, -92.97
112.93, -230.61, 63.5, -95.3, -94.35, -93.37
112.72, -230.64, 63.57, -95.5, -94.49, -93.75
112.51, -230.68, 63.64, -95.7, -94.62, -94.13
112.3, -230.71, 63.71, -95.91, -94.75, -94.52
112.09, -230.75, 63.78, -96.11, -94.88, -94.89
111.89, -230.79, 63.85, -96.31, -95.01, -95.27
111.68, -230.82, 63.93, -96.52, -95.14, -95.66
111.48, -230.86, 64.0, -96.71, -95.26, -96.02
111.29, -230.89, 64.07, -96.91, -95.38, -96.39
111.08, -230.93, 64.15, -97.12, -95.51, -96.77
110.89, -230.97, 64.22, -97.32, -95.63, -97.13
