PathpointName,X,Y,Z,RotX,RotY,RotZ
0,-551.7563,864.8358,435.9379,-532.5079000000001,170.2628,-401.7336
1,-369.8556,889.2201,423.6903,-531.7455,159.6787,-377.1683
2,-50.09486,1045.976,422.2922,-184.577173,192.9212,-475.726
